CVE,CVSS,Severity,EPSS,KEV,VMC
CVE-2018-18928,"9,8",Critical,"""0.021030000""",N,Defer
CVE-2023-26119,"9,8",Critical,"""0.046900000""",N,Defer
CVE-2025-46295,"9,8",Critical,"""0.003630000""",N,Defer
CVE-2022-25647,"7,7",High,"""0.021050000""",N,Defer
CVE-2022-29546,"7,5",High,"""0.002520000""",N,Defer
CVE-2022-34169,"7,5",High,"""0.066580000""",N,Defer
CVE-2023-2798,"7,5",High,"""0.000730000""",N,Defer
CVE-2023-36478,"7,5",High,"""0.023350000""",N,Defer
CVE-2024-13009,"7,2",High,"""0.001150000""",N,Defer
CVE-2020-8908,"3,3",Low,"""0.000110000""",N,Defer
CVE-2022-2047,"2,7",Low,"""0.011850000""",N,Defer
CVE-2023-26049,"2,4",Low,"""0.003250000""",N,Defer
CVE-2023-36479,"3,5",Low,"""0.007940000""",N,Defer
CVE-2024-6763,"3,7",Low,"""0.007330000""",N,Defer
CVE-2021-29425,"4,8",Medium,"""0.002930000""",N,Defer
CVE-2021-37533,"6,5",Medium,"""0.002140000""",N,Defer
CVE-2022-23437,"6,5",Medium,"""0.000360000""",N,Defer
CVE-2023-2976,"5,5",Medium,"""0.000430000""",N,Defer
CVE-2023-3635,"5,9",Medium,"""0.004170000""",N,Defer
CVE-2023-40167,"5,3",Medium,"""0.055320000""",N,Defer
CVE-2024-47554,"4,3",Medium,"""0.001650000""",N,Defer
CVE-2024-8184,"5,9",Medium,"""0.007950000""",N,Defer
CVE-2024-9823,"5,3",Medium,"""0.001960000""",N,Defer
CVE-2025-48924,"5,3",Medium,"""0.000220000""",N,Defer
CVE-2022-42889,"9,8",Critical,"""0.942510000""",N,High priority
CVE-2023-26048,"5,3",Medium,"""0.394090000""",N,Monitor
